uqifllhkqn;siwqjc2pb3;Turkish;56;314;4704
mavlscithc;e9savzeel0;Italian;86;453;18026
xlacanwgpc;h9lutwkaui;Spanish;66;351;8610
bkrfrazvih;akz9by769w;Italian;72;379;5907
lmrmhhowni;lfsfaky6k4;Italian;14;71;622
bxwxcitvua;jfgumadsk1;Turkish;77;416;16285
sflhrwhwrc;zd3kpoyct2;Italian;22;116;975
nedzhseybm;cxq3ufxb5u;Turkish;63;348;8115
engzmrqdmo;4k8zqcxcx5;German;77;419;10015
sumyeeknmb;l753s4ss3i;Turkish;85;461;11234
yggtmliaww;17dfh8s0md;Italian;75;393;6165
wbjdgshtsz;kshrib2lcx;Italian;75;393;9611
scfnrtlyiy;lxtq79nmoj;Italian;59;302;2485
bxjqlmfxpw;pbz7lw638h;Italian;80;419;9621
qtfdzvcgpg;x4pwb1nkii;Turkish;71;403;9209
wilpfuunon;muqlslmswe;German;33;176;2700
zgrhnwmsha;oe2qs60gr6;Turkish;6;25;307
eriheizedc;h5dfos9har;Turkish;38;218;3241
rvaaqilojl;vl2wwds12n;Italian;65;335;2573
bkxvvmymrh;upy8kfqovi;German;78;428;17030
dmeedqglyr;sdx7rhlsi4;German;79;438;10484
wghvbdxiyg;sbe9m9zbqt;Italian;53;274;2196
dpeapthxfy;7pnw94c18e;Turkish;6;25;246
oeectnfdkd;q9l11umh71;Spanish;12;56;557
nhkbqkdiik;9igrthx9rx;Turkish;85;461;17994
foywzubmyi;nf9fbpx6pm;Italian;46;234;1804
zouuofxsxe;oth4824rjl;Spanish;24;111;1026
trcxoetrlc;vxa65gf3cz;Italian;2;6;110
nqboobllbl;dsrmwy5yel;Turkish;78;422;9919
iqfidewffq;u5jv6xwg42;Italian;44;224;1923
ahscxlcahi;a4rtm4sunp;Turkish;5;19;168
ngbjcuygdw;l0nz5hw7kd;Turkish;9;43;411
jtcoucqyhq;m9l8z9iz36;Spanish;7;39;296
vvisacahlw;rh7eahf80l;Spanish;65;344;8372
udspfhjrwy;p329czl486;Turkish;14;75;475
ccxgtnopuz;dchogeg16s;Spanish;56;286;7285
uitmywlpbp;0ltfdcw4gz;German;4;18;212
neszbszeqn;patrjgnc4f;Spanish;48;233;3895
slzodnxccl;xxscr81v9t;Spanish;25;120;976
ecpzcmdlok;ybnx5fcuaq;German;81;456;10523
akslglxwyy;0kwtjwjgca;Italian;74;390;9846
vnhlycjnsb;l5ididz10o;Turkish;84;455;17985
ctqopehddw;i6t349xrs4;Italian;81;427;10133
lshrdpntqq;qs36k4hoo6;Turkish;52;280;4202
verodgmfgk;mmtlv4d7g6;Spanish;37;176;1534
hbfyblckgr;8kvfyxzfhb;Italian;47;240;2043
xyhzadssbo;21ulrohhlt;Spanish;56;286;7262
ejsfybzkdc;i1cispkl6p;Turkish;63;348;7971
ezxccpgsvw;l9rzz7hs7z;Italian;89;473;11169
catxavcqyt;xf65hk92p4;Italian;62;317;2428
jiteuvzwfw;m94256irly;Turkish;64;357;5165
qaikfotgev;shg6v7dfrw;Turkish;14;75;508
jbgtycykyx;tx4fzx8p1p;Spanish;48;233;3901
wkjykubytn;qmqfq57c8d;Spanish;24;111;974
wxgbhnmcds;v5fmvsnikz;Turkish;65;367;8356
vwrdzwrham;q4a61z2iw6;Spanish;9;44;385
sulteiayor;e3bobgk2jy;Italian;79;409;9873
ifyowpwywh;ijnqszmdbc;Italian;75;393;6048
qgvcwunjmx;hyhb0b7uwx;Turkish;5;19;217
wukobaudzq;3v3hlt47zl;Turkish;34;190;1490
hcidmjetcu;ii967rk1hw;German;37;204;4851
ptxzutyzom;4nd7l4c3nl;Spanish;58;303;7395
zsubhwsfxe;rfn8uziecm;Spanish;55;278;6829
xutgkudesn;mjj22id0sj;Italian;80;419;16892
dsvaevtgos;f6m5cr9fj2;German;18;88;1698
vbjltwsigc;mh93bninti;German;9;41;890
fanwhvvfem;afpop6r2kr;Turkish;36;199;1669
akidnuknas;078i5i2kk0;German;33;176;4428
sgbrsflmvq;120pou0e5p;Turkish;67;381;8611
rdyqiiqqei;74vfsttf0r;Turkish;24;131;984
malgcnncbl;3b56wqecdc;German;20;103;1638
ewfddikghj;m2y1i4s7al;Spanish;63;330;8331
dvbjiiqlvc;dbgr5uyj4e;Spanish;2;7;120
ykvdmaqnpb;cc9ceo79an;Italian;28;150;1125
bnivrxypby;5ipzyh8ahr;Turkish;5;19;186
pdbtewvjrq;c91bdvd9h2;Spanish;3;13;182
unnsqchyjp;6mt3owdles;Spanish;64;334;8478
wzestoqnlq;3u2gb9x0iz;Spanish;52;254;4404
jlzvuatsuw;rdgtpk6iro;Turkish;19;97;828
eykfrzajbs;vlzwqaxeld;German;46;263;6157
hnzrlhwcwz;mcgzrpnxxg;Italian;65;335;5524
wcjbwssiam;lxiyvohx0b;Italian;18;93;762
bkmbacjatg;4h8dhjf8in;Spanish;9;44;439
sofzhtfsiz;k1jsaavd1h;German;23;116;2151
jvmohtgkvc;xcf6mwvzy7;German;80;447;10349
micjdulrja;exa14lisf7;Spanish;32;150;1359
uvjutjhltt;0grcivxsk7;Spanish;25;120;1277
nfalygsmwk;4m4u93qb6u;Spanish;52;254;6800
fxovkpvfhr;g5f03ak77e;Spanish;54;273;7166
uhxuzacywl;p1nu0ajdk1;German;2;8;82
rnppgwhubc;0u6f4mynqj;Italian;68;353;5573
iqaqbtwccl;a2r36t42wv;Turkish;46;248;3903
bywxtxdetx;qd16o15449;Turkish;5;19;156
piqvtmqqhw;2s36gxtk26;Italian;79;409;10301
fieymzbtaf;7iak3n7d67;German;50;278;6547
oirkyisgst;tszt6afse8;German;79;438;17647
puyrjtjlvg;d2wprrvt0u;Spanish;45;215;3938
irjtwhuccd;pyh5pfzhe5;Spanish;38;182;3443
ypxhdotvvu;ncbjv65n2o;Italian;87;462;18319
hcrsmvhurw;d5o1im5a38;Italian;34;174;1392
